Class,Skewness,Kurtosis,Entropy
0,0.899576048,0.100506171,0.2440874
0,0.737669646,0.104753699,0.72193004
0,0.608051727,0.311198225,0.773547014
1,0.653346904,0.144209189,0.42339762
1,0.63886966,0.27350895,0.64597143
1,0.765157326,0.217258061,0.179192013
1,0.586603404,0.226190751,0.549087536
0,0.478125854,0.457772417,0.763200487
1,0.643670462,0.251954682,0.671140329
0,0.821756652,0.0927176,0.547441738
1,0.135578697,0.641923881,0.665139075
1,0.786141659,0.232428544,0.089473253
1,0.700969515,0.199762207,0.279722124
1,0.642663903,0.077549702,0.453849441
1,0.627718927,0.072345833,0.463960646
1,0.815099889,0.246012019,0.48441947
0,0.525744723,0.236673487,0.807879829
1,0.259928082,0.552264846,0.830925557
1,0.27920987,0.458401361,0.850443275
0,0.375375589,0.467994917,0.719461342
1,0.268137715,0.477666013,0.805998527
1,0.570498453,0.166579792,0.724046846
0,0.794347551,0.170491309,0.477017922
1,0.532558644,0.328765589,0.735686553
0,0.723577814,0.299937536,0.762023878
0,0.583198315,0.525577789,0.841036762
1,0.513665897,0.219620479,0.798591524
1,0.273555924,0.592904991,0.806351328
0,0.59419189,0.215523295,0.919346773
1,0.301586173,0.484162233,0.819049438
1,0.257840125,0.552596549,0.841625067
0,0.800850898,0.295582312,0.484183056
1,0.791174457,0.214268421,0.161197341
0,0.885327057,0.05200853,0.380243142
0,0.788929343,0.19245396,0.606472262
0,0.415795126,0.349878304,0.8863035
0,0.771196683,0.257750016,0.726632841
1,0.166239471,0.625459323,0.704646426
0,0.389703159,0.375053309,0.876428708
1,0.510026679,0.226338381,0.809172827
0,0.540146756,0.406466065,0.751442574
0,0.800001497,0.185551511,0.552970166
1,0.302207321,0.482650182,0.811525137
1,0.667053325,0.208030241,0.41058585
1,0.584668864,0.097960239,0.777544668
1,0.24924508,0.718366468,0.76966693
0,0.983199063,0.257491546,0.090882639
1,0.597675559,0.116307321,0.661256445
1,0.300658193,0.416912572,0.806468625
1,0.542779526,0.198470287,0.780484101
1,0.50305822,0.209285545,0.798473317
1,0.549128709,0.126456588,0.816110641
1,0.503754953,0.23560299,0.817873737
0,0.332789517,0.587110948,0.585540613
0,0.582113176,0.318874793,0.833041454
0,0.605574618,0.22013742,0.924984315
1,0.267052577,0.681784307,0.69618011
1,0.619977025,0.12527624,0.563672404
1,0.226247629,0.743171,0.645034871
0,0.71296965,0.130368105,0.784129045
0,0.882153962,0.063118444,0.439628286
1,0.440109711,0.219288345,0.783306055
1,0.506232811,0.257934392,0.815287742
0,0.368793663,0.398935964,0.810113933
1,0.277814157,0.469618972,0.815992435
1,0.52481562,0.26055528,0.938741737
0,0.393108248,0.339026859,0.797063022
1,0.661092547,0.024063584,0.377660784
0,0.54324389,0.263581967,0.845740473
1,0.779327738,0.220284748,0.144502942
1,0.211691806,0.532961423,0.667139493
0,0.773056386,0.27332802,0.715816034
1,0.264186315,0.442492515,0.807174227
0,0.777082624,0.147974239,0.765551888
0,0.90971648,0.050345704,0.388126608
0,0.763297624,0.248558813,0.576011348
1,0.018118071,0.973347406,0.484537676
0,0.845064678,0.090356904,0.693358611
1,0.648856676,0.038680078,0.430690053
1,0.26744173,0.600435092,0.942742573
0,0.842740985,0.173261249,0.651263446
1,0.552767664,0.132401404,0.786127918
1,0.48362339,0.337036638,0.786127918
1,0.587688543,0.086040451,0.747797267
0,0.814168167,0.117965839,0.607054202
0,0.962910716,0.360548819,0.282304482
1,0.556638615,0.128636354,0.831278358
0,0.860316486,0.086148147,0.336743137
0,0.829423717,0.169086954,0.643980105
0,0.744330152,0.247746785,0.822577448
1,0.244055125,0.486785707,0.810819535
0,0.626633788,0.267715769,0.832335852
1,0.76987955,0.264541323,0.092182911
0,0.646843557,0.254169341,0.740272057
0,0.803328007,0.108406746,0.679369323
0,0.347502498,0.385202576,0.721577239
0,0.82338436,0.087664506,0.634569046
0,0.336740918,0.595045986,0.607527028
1,0.63933365,0.189648696,0.513816525
1,0.761131088,0.256863894,0.169899161
1,0.641810759,0.174919767,0.535211908
1,0.048625429,0.872617227,0.651027033
1,0.01029759,0.989221789,0.475372123
0,0.771739252,0.161190686,0.726515544
0,0.33464922,0.376565361,0.754381371
1,0.456600074,0.332642643,0.822577448
0,0.746807261,0.139668727,0.774252435
0,0.63244115,0.412665044,0.836098457
0,0.896631206,0.058319512,0.396946634
1,0.160974679,0.648454563,0.722518345
1,0.625009822,0.074930536,0.534157142
0,0.899576048,0.100506171,0.2440874
0,0.699573803,0.313929395,0.797297617
0,0.745179553,0.24405583,0.829044255
0,0.416648269,0.310608051,0.786950908
0,0.550677089,0.423774959,0.889476891
1,0.559736873,0.113942318,0.787303709
1,0.04514176,0.880810735,0.708879129
0,0.938057303,0.051340815,0.382125353
1,0.462096862,0.353682125,0.837392364
1,0.75664086,0.274396364,0.175545796
0,0.717923868,0.149232128,0.798708821
1,0.365620568,0.307286708,0.831983051
1,0.586296572,0.235750748,0.555325204
1,0.59125079,0.125827643,0.661374651
0,0.946341774,0.306252827,0.288533057
0,0.35423784,0.487225106,0.793887813
0,0.515369329,0.435182114,0.746386063
0,0.920092648,0.085557973,0.387299163
1,0.521873398,0.152148534,0.821754549
1,0.587841959,0.121325953,0.704058121
1,0.322802501,0.672854158,0.675604899
1,0.462639431,0.277610011,0.810466734
1,0.196978825,0.760294656,0.690418906
0,0.638095096,0.173002779,0.879011066
0,0.851568025,0.187434036,0.556025351
0,0.370574787,0.401925604,0.863965193
1,0.294461678,0.700794796,0.70252962
1,0.619898446,0.241619747,0.699002519
1,0.506232811,0.288202985,0.735569255
0,0.817576998,0.09626295,0.62128445
0,0.533410291,0.432119241,0.888658538
0,0.348662473,0.424662373,0.687361903
0,0.579246914,0.225489435,0.912990898
0,0.741617305,0.222905637,0.72392864
0,0.348430478,0.391517867,0.763553288
0,0.536972164,0.285545049,0.887594679
1,0.699341807,0.206516897,0.293470453
0,0.377003297,0.399784608,0.895941879
0,0.856215411,0.200980464,0.621520863
0,0.401856709,0.336851401,0.795651818
0,0.410762328,0.316919034,0.838568064
1,0.035925567,0.773472333,0.603762605
0,0.350290181,0.392439744,0.702999718
1,0.626169798,0.172300601,0.644089219
0,0.903291711,0.037611735,0.411640616
1,0.435847736,0.301600362,0.818344745
1,0.801936037,0.251659595,0.512170727
0,0.393261664,0.360807289,0.687716523
1,0.036389557,0.900596636,0.690301609
1,0.26248377,0.479328839,0.83398256
1,0.247695952,0.567729985,0.86525819
0,0.599071271,0.345044909,0.849503078
1,0.520711926,0.177650936,0.733099648
1,0.527525847,0.213234971,0.74450476
1,0.66488679,0.212275185,0.422224647
1,0.01176814,0.985603205,0.524755176
1,0.249398497,0.470911323,0.805763932
1,0.588695102,0.09596571,0.766139284
1,0.17707963,0.6184117,0.687950208
0,0.678821465,0.319835441,0.84585777
0,0.772435238,0.182191397,0.710760432
1,0.524196343,0.146793891,0.89782409
0,0.555246644,0.608072889,0.863612392
1,0.589005676,0.209469921,0.585185993
0,0.710645957,0.118189846,0.826927448
1,0.859620501,0.238888147,0.351437119
0,0.64916725,0.242911668,0.803058821
0,0.621911565,0.41484481,0.831983051
0,0.785984501,0.181566761,0.541685989
1,0.478358223,0.3293213,0.813170936
0,0.584747443,0.226707519,0.889240478
1,0.177233047,0.61611993,0.766139284
0,0.541929376,0.260335581,0.736863162
0,0.799922918,0.20714455,0.60940924
1,0.702825476,0.010627437,0.196586559
1,0.508865207,0.222831973,0.888185712
1,0.528687319,0.341758029,0.742858961
0,0.900504028,0.172485838,0.409994817
1,0.624777827,0.265206022,0.717814634
0,0.362832885,0.34655696,0.806351328
0,0.439024573,0.337885282,0.771665712
0,0.486565612,0.46832662,0.895832765
1,0.270693403,0.681047666,0.732746847
1,0.526286918,0.156611455,0.853500277
0,0.630196036,0.257270123,0.850678778
0,0.373287633,0.427725246,0.750384171
1,0.600077831,0.093975488,0.766492085
0,0.811459062,0.240217115,0.577657146
1,0.63840567,0.129924397,0.575192995
0,0.882771369,0.037684968,0.483955736
0,0.810452503,0.156021281,0.610109387
0,0.641114774,0.315256209,0.801648527
1,0.672475276,0.202309001,0.416814425
1,0.123963973,0.614202942,0.564254344
0,0.818894132,0.100583712,0.643389072
0,0.673867246,0.319650204,0.806468625
1,0.619202461,0.257122364,0.711817926
0,0.860395065,0.068137075,0.15802395
0,0.626326956,0.236341353,0.772136083
0,0.805576863,0.220469554,0.497476745
0,0.821756652,0.0927176,0.547441738
0,0.896320632,0.021556422,0.382952799
1,0.279595281,0.433816529,0.877838093
1,0.593495905,0.083309281,0.716756231
0,0.540146756,0.318357852,0.949325768
0,0.655902592,0.152997178,0.875373942
1,0.503677497,0.282921576,0.814816734
1,0.707704857,0.199688543,0.283477454
1,0.0,1.0,0.592478427
0,0.722182101,0.304331531,0.734393555
1,0.537978724,0.211093975,0.771900943
1,0.027794512,0.963641846,0.501350282
0,0.725901507,0.136239688,0.794828919
1,0.029964789,0.786947251,0.533220582
0,0.946884343,0.33928533,0.47960028
1,0.500735275,0.267974239,0.816345236
0,0.541929376,0.260335581,0.736863162
1,0.489352921,0.265501109,0.804234522
1,0.22229997,0.650780796,0.820460642
0,0.800386908,0.124871303,0.68983151
1,0.533255378,0.142404204,0.829749857
0,0.545102097,0.269007689,0.868899861
0,0.820907251,0.226707519,0.571901398
0,0.4562895,0.573636031,0.774722806
0,0.870771234,0.332862343,0.298180529
1,0.636003398,0.197843065,0.468079689
0,0.491675865,0.545841859,0.810466734
0,0.73356483,0.123910655,0.754969675
0,0.858924516,0.029267452,0.383889359
0,0.73062373,0.219731191,0.749914073
0,0.818430141,0.217000022,0.4799549
0,0.756408865,0.192933853,0.71440483
0,0.797056655,0.209654296,0.53651218
0,0.881147403,0.056286213,0.462314848
0,0.834303098,0.362948284,0.693946007
0,0.89500724,0.051784522,0.440919465
1,0.608208885,0.104197988,0.695592715
0,0.514441696,0.281224288,0.726160925
0,0.854202292,0.123945118,0.651027033
0,0.410373175,0.314373102,0.838568064
0,0.850640045,0.102685937,0.682897333
0,0.835541652,0.081607685,0.636569465
0,0.762912212,0.193561074,0.694651609
0,0.626401793,0.170564542,0.909581094
0,0.773595213,0.141292782,0.530629132
1,0.15988954,0.644801516,0.765551888
1,0.554704075,0.207772202,0.677487111
0,0.53464922,0.271996898,0.877838093
0,0.335423784,0.581571069,0.589423243
0,0.793883561,0.245421414,0.501468489
1,0.68447541,0.202678183,0.3896542
1,0.471155897,0.287242337,0.843976468
0,0.736041939,0.249186465,0.713581931
0,0.541850049,0.326366123,0.94697073
0,0.724120383,0.123945118,0.772136083
0,0.816027869,0.219251298,0.578248179
0,0.860395065,0.068137075,0.15802395
0,0.853966555,0.205003554,0.588241178
1,0.563141962,0.200057725,0.662320303
0,0.554161506,0.260444569,0.868317921
1,0.697871258,0.015796842,0.248088237
1,0.449243584,0.212865789,0.766021986
1,0.657219726,0.199577832,0.397173955
1,0.601701796,0.11899972,0.645853224
0,0.691442748,0.286983867,0.784716986
0,0.52404143,0.314446335,0.964256163
1,0.615097644,0.261699442,0.706174927
0,0.968796656,0.24014302,0.071842294
0,0.856679401,0.30278071,0.311346918
0,0.393261664,0.360807289,0.687716523
1,0.337900893,0.501216964,0.787421006
0,0.865659858,0.071273182,0.663966102
0,0.746107533,0.116122084,0.744034662
0,0.501974204,0.246971805,0.868079689
1,0.851878599,0.237116333,0.361548324
0,0.781108862,0.242763909,0.739684661
0,0.961440166,0.342977147,0.475017504
1,0.506464806,0.25184397,0.782365404
0,0.728146621,0.153807052,0.755675278
0,0.373287633,0.427725246,0.750384171
1,0.239875471,0.526055959,0.716521636
1,0.556253204,0.212422944,0.722752939
1,0.205805865,0.669898981,0.883011902
0,0.725512354,0.323083551,0.765904689
1,0.586528567,0.085079803,0.783188394
1,0.43762886,0.348736726,0.832454059
0,0.855362268,0.174812071,0.640915828
0,0.332636101,0.375716717,0.724751539
0,0.549206165,0.278088181,0.930867363
0,0.542159875,0.311749628,0.953444811
0,0.80665826,0.215560342,0.535330114
0,0.834303098,0.290012277,0.419869609
0,0.647000715,0.26055528,0.851031579
1,0.776846887,0.256937989,0.087245515
0,0.98776787,0.259410688,0.080653227
0,0.792645006,0.185625175,0.696885712
0,0.868294125,0.199171603,0.62516708
0,0.34347626,0.482172012,0.829278849
1,0.496631581,0.21245956,0.820460642
1,0.81208021,0.254280053,0.480427726
0,0.661167384,0.166097314,0.855734381
0,0.386294327,0.384651173,0.876192295
0,0.638327091,0.3515799,0.785187266
1,0.24382313,0.570607621,0.861025487
1,0.616261361,0.093200078,0.657964847
1,0.278435305,0.490438753,0.790243415
0,0.663569657,0.142292201,0.814346636
1,0.595587602,0.207365972,0.625630814
0,0.523886517,0.269118401,0.865728289
1,0.656213166,0.034992569,0.409167371
0,0.508787751,0.450978956,0.894768906
0,0.544715189,0.275245008,0.931922129
0,0.899576048,0.100506171,0.2440874
1,0.486023417,0.357559179,0.846563372
1,0.018192908,0.808098736,0.538394392
0,0.84444353,0.071087945,0.652209098
0,0.733875404,0.327809249,0.783306055
1,0.526751283,0.256014819,0.750384171
0,0.607819732,0.335115342,0.811525137
0,0.752921455,0.196034204,0.72392864
1,0.281376405,0.458289357,0.831748456
0,0.602401524,0.439166864,0.82728025
0,0.847852361,0.155211407,0.626340053
1,0.513046433,0.257270123,0.772253653
0,0.71250566,0.103202878,0.729337952
0,0.622375555,0.236193594,0.829278849
0,0.473558169,0.294289961,0.753558471
1,0.692295891,0.206553945,0.302999718
1,0.491211501,0.209617679,0.858321285
1,0.324662204,0.515389752,0.793182211
0,0.810452503,0.156021281,0.610109387
0,0.871699215,0.054920628,0.450439637
1,0.510026679,0.269746053,0.781424752
0,0.41703368,0.363538458,0.76943179
0,0.601237806,0.318762789,0.809172827
1,0.476035278,0.288129752,0.847621775
0,0.393261664,0.360807289,0.687716523
0,0.741463889,0.238925194,0.590596216
0,0.563373957,0.310754518,0.940860362
0,0.599535261,0.285691516,0.773899724
1,0.435847736,0.223237771,0.759790684
0,0.551838561,0.409787408,0.851266174
0,0.360355776,0.453158722,0.740743064
0,0.801240051,0.13801021,0.670903916
0,0.557723754,0.258820083,0.864669886
1,0.622996703,0.234385164,0.667375906
0,0.455361519,0.592831757,0.845975068
1,0.231901574,0.738962242,0.724634242
0,0.566936205,0.277610011,0.855264283
0,0.864342724,0.068873716,0.208579976
1,0.618813308,0.200759041,0.517462742
0,0.284628078,0.575923493,0.746033262
0,0.753621182,0.226153833,0.781777463
0,0.742238454,0.251290413,0.823870446
1,0.655360023,0.032076163,0.39059076
0,0.812697617,0.273991427,0.473489912
1,0.201701048,0.761587008,0.660674505
0,0.742934439,0.237928361,0.594360639
0,0.531706998,0.425291318,0.748620166
0,0.551451279,0.40107696,0.681951681
0,0.744330152,0.123062011,0.759437882
0,0.910027054,0.166653025,0.41058585
0,0.874254903,0.059573093,0.472780672
0,0.809524522,0.18998083,0.453849441
0,0.669377018,0.361875633,0.743447266
0,0.561903408,0.409382471,0.859496986
1,0.539759473,0.206664656,0.729337952
0,0.931164803,0.046619424,0.314165689
0,0.752304048,0.151075883,0.775428226
1,0.523731604,0.207328925,0.865493694
0,0.491056588,0.557951192,0.843036271
1,0.319782823,0.470247916,0.860672686
0,0.789546749,0.247783833,0.645034871
1,0.460240901,0.351429125,0.817873737
1,0.323498486,0.424257436,0.911817926
0,0.745336711,0.271553191,0.591769188
0,0.903602286,0.161225149,0.398710639
1,0.643823878,0.175402244,0.560962747
0,0.81502131,0.217553579,0.617165407
1,0.651412364,0.037982209,0.400701965
1,0.685867381,0.012807203,0.513698319
1,0.541618054,0.205668253,0.777779827
0,0.889353295,0.063669847,0.471371287
1,0.461479455,0.276278889,0.791889213
1,0.584436869,0.169237728,0.651736272
1,0.529461509,0.172154134,0.702294116
0,0.608979708,0.293260387,0.859379688
0,0.825550895,0.144950137,0.474190058
1,0.619977025,0.1745536,0.634805459
0,0.774216362,0.172817542,0.633978014
1,0.661013968,0.01974713,0.412931795
0,0.735192537,0.106377754,0.749914073
1,0.666435919,0.208178,0.611527865
0,0.792334432,0.230804661,0.547205325
1,0.511962417,0.214009951,0.822930249
1,0.651722938,0.052189459,0.596242851
1,0.645683581,0.071311952,0.650326887
1,0.559579715,0.204745514,0.702059522
1,0.661092547,0.0202253,0.382479973
1,0.458691772,0.280229177,0.81775644
0,0.867130407,0.085411506,0.681715268
1,0.185596096,0.60286902,0.75755658
0,0.561749992,0.313744157,0.973194395
1,0.468525372,0.325224546,0.847503569
0,0.509175033,0.247266892,0.823870446
1,0.316609728,0.675068387,0.680778708
1,0.841270435,0.218402654,0.44679342
0,0.628725486,0.353350421,0.771077862
1,0.637241952,0.06928296,0.477718068
1,0.752072053,0.266387232,0.174954763
1,0.197367978,0.620255455,0.88983151
1,0.249087922,0.477149073,0.792477518
0,0.868447541,0.223643871,0.608236268
0,0.74285586,0.202825942,0.574483756
0,0.546186112,0.427466776,0.906407703
0,0.797520646,0.255719732,0.693123108
1,0.662099107,0.206516897,0.446557007
1,0.630353194,0.081866155,0.512170727
1,0.267284572,0.679389149,0.738979059
0,0.52404143,0.266091714,0.884775908
1,0.587767122,0.12549594,0.678187257
0,0.722649833,0.315294979,0.740507561
0,0.896245795,0.04599048,0.374960219
0,0.763454782,0.200389859,0.856321776
0,0.393882813,0.376677364,0.85338298
0,0.87835972,0.06599608,0.464669886
1,0.262562349,0.445628621,0.727221146
0,0.864189308,0.319503737,0.379070169
0,0.379633822,0.351282659,0.802471426
0,0.744715563,0.263914102,0.827515753
0,0.624156679,0.27328925,0.814346636
0,0.826172043,0.228700713,0.479718487
1,0.587145974,0.086298921,0.721107141
1,0.637631105,0.074521291,0.496412886
1,0.520557013,0.219251298,0.778014985
1,0.559579715,0.203785728,0.703469816
1,0.260395814,0.516423633,0.883484729
1,0.112502666,0.66790876,0.685952517
1,0.696943277,0.021000711,0.262082072
1,0.641114774,0.033588214,0.409640197
1,0.165543486,0.649634911,0.751795375
1,0.733643409,0.251290413,0.328277731
0,0.423383611,0.325961186,0.871136692
1,0.624235258,0.15078295,0.57660238
0,0.783817966,0.261514636,0.708408122
1,0.496476668,0.341133392,0.826104549
0,0.785056521,0.15528464,0.691124508
1,0.034687012,0.778934672,0.49218473
0,0.633758284,0.237485515,0.762259382
0,0.26054923,0.592314817,0.722518345
1,0.548896339,0.142843604,0.836804059
0,0.71536818,0.31581192,0.759672477
0,0.792877001,0.149120124,0.790007911
1,0.266124596,0.478626661,0.826927448
0,0.859388506,0.188541151,0.607054202
0,0.498799238,0.244092877,0.90241596
1,0.527061108,0.247119564,0.783541195
0,0.839025321,0.186252827,0.612582631
0,0.962368146,0.361026989,0.331923948
1,0.71002855,0.003024102,0.220691599
1,0.297481356,0.48058242,0.887476472
1,0.863182749,0.208916363,0.198114151
1,0.500890188,0.207107502,0.834217154
0,0.555632056,0.255535357,0.85855588
0,0.83174741,0.155689577,0.588004765
1,0.477041838,0.187212613,0.836333961
0,0.344172245,0.483903763,0.796827518
0,0.407432076,0.324892843,0.762964984
1,0.263954319,0.61611993,0.786363058
0,0.585132855,0.34183557,0.820343345
1,0.257840125,0.463273526,0.782482974
1,0.53983693,0.176914296,0.813641034
0,0.348662473,0.424662373,0.687361903
1,0.674409816,0.016533483,0.535211908
1,0.764768173,0.250367674,0.139801959
0,0.866434422,0.087810972,0.645034871
0,0.509871767,0.262326663,0.803764423
0,0.552148387,0.257380834,0.834922757
0,0.709717976,0.150300472,0.670312884
1,0.307546951,0.433411592,0.917937387
1,0.589237672,0.082680337,0.717932841
1,0.266973998,0.475378551,0.767550488
1,0.620441015,0.092312663,0.667839639
0,0.512194711,0.407719646,0.831042854
0,0.77677205,0.141702027,0.745445866
1,0.252264759,0.550528787,0.833041454
0,0.860395065,0.068137075,0.15802395
0,0.527912755,0.324927305,0.973903634
1,0.555014649,0.126753829,0.813641034
0,0.895856642,0.050530941,0.358493139
1,0.511420521,0.311012988,0.880547751
0,0.829345138,0.320869322,0.437155042
0,0.532558644,0.286393693,0.924402375
0,0.847309792,0.126973528,0.708526328
0,0.871156645,0.090800612,0.50370532
0,0.518776226,0.495681392,0.64244342
1,0.536275431,0.211093975,0.716874437
0,0.808671379,0.075443169,0.666784873
0,0.635385991,0.220838736,0.753441174
0,0.375222173,0.349512137,0.712523528
0,0.422377052,0.296986667,0.842330669
0,0.46418856,0.532961423,0.740624858
0,0.532713557,0.289236866,0.960964565
1,0.46418856,0.313744157,0.824811552
0,0.567246779,0.454856011,0.737685152
1,0.284860073,0.469214035,0.821401748
0,0.649477824,0.258967842,0.813170936
0,0.86310417,0.193930256,0.577429826
1,0.548818883,0.157572102,0.725575348
1,0.128996771,0.60611713,0.585067787
0,0.801008056,0.144028259,0.743211762
0,0.34301227,0.587291878,0.530865545
1,0.666510756,0.214711267,0.578721005
1,0.522105767,0.305068172,0.865728289
1,0.432596063,0.411191763,0.80270602
1,0.601933792,0.208547182,0.641743274
1,0.531164803,0.340689685,0.771430572
0,0.957103354,0.210281948,0.061494676
1,0.658147706,0.214231374,0.429980814
1,0.749980355,0.234532492,0.27301163
1,0.497250858,0.301122192,0.935804759
0,0.414092581,0.330872122,0.855734381
0,0.49399881,0.537463114,0.715816034
0,0.631513169,0.17802141,0.919583186
0,0.598914113,0.21637237,0.918519327
0,0.772588654,0.267346587,0.716404339
1,0.479829147,0.18148922,0.806468625
0,0.640108214,0.166355784,0.832218555
0,0.4161057,0.31979667,0.863141384
0,0.607898311,0.419751438,0.796944816
0,0.56430568,0.28333082,0.927812179
0,0.807047413,0.112059793,0.693123108
1,0.872009789,0.228700713,0.154259527
1,0.862793595,0.228331574,0.160378988
0,0.624235258,0.352833481,0.787303709
1,0.655128028,0.036539083,0.379542995
0,0.920324643,0.341611562,0.337452376
1,0.556795773,0.121287182,0.771548142
0,0.76198049,0.251770306,0.737097757
1,0.633836863,0.184629634,0.530392718
1,0.297870509,0.696698042,0.729219746
1,0.219665703,0.519818209,0.808349928
0,0.65110179,0.370219915,0.821754549
0,0.727061482,0.259152648,0.64186148
0,0.915912994,0.085191806,0.406585013
1,0.311498352,0.477739247,0.857498386
1,0.629268055,0.077734939,0.524164143
0,0.502361112,0.408236586,0.687127308
1,0.593342488,0.207550348,0.624812461
1,0.16925915,0.615086049,0.73180665
0,0.812001631,0.225267969,0.580012184
0,0.843826123,0.132362634,0.703940824
0,0.861944194,0.076037651,0.607054202
1,0.443668217,0.221023112,0.766374787
1,0.653114909,0.201866155,0.412349855
1,0.672782108,0.032149396,0.559671568
0,0.770654114,0.19869171,0.73462815
0,0.339218027,0.568837099,0.636451258
0,0.800776061,0.279673466,0.447739073
1,0.632598308,0.097999009,0.510052102
1,0.659000849,0.193450363,0.66690308
0,0.520557013,0.232945484,0.881247897
0,0.573982121,0.552450083,0.848561972
0,0.876346601,0.089547031,0.541331369
1,0.254973863,0.607039007,0.916291588
0,0.940455833,0.211500205,0.136273948
1,0.17707963,0.609477244,0.698179619
1,0.530080787,0.213567105,0.764728989
1,0.448626177,0.319688974,0.89018613
1,0.622686129,0.149710298,0.571664984
0,0.892762126,0.042776832,0.43045364
1,0.634843422,0.081017511,0.487829273
0,0.717074467,0.124169126,0.771665712
1,0.346417359,0.319021259,0.908644535
1,0.52226068,0.266719366,0.920992571
0,0.917768955,0.081275982,0.398237813
1,0.207976142,0.672780925,0.866551188
0,0.869375522,0.015391906,0.301117506
0,0.512736719,0.315665453,0.880193131
0,0.424775582,0.341499558,0.924284169
0,0.895314073,0.061602085,0.393300417
1,0.479596778,0.344342732,0.762142084
1,0.276343607,0.465746225,0.849973176
1,0.445681336,0.401150193,0.827397547
0,0.849633485,0.138083443,0.674777453
1,0.85869252,0.215892476,0.227865826
